name,type,stage,size,target_irr,date_added
Project Sigil,GP-Led (Single-Asset),Due Diligence,7.5,0.16,2026-03-06T08:37:03.330981
Project Seasmoke,GP-Led (Single-Asset),Term Sheet,10.0,0.33,2026-03-06T08:37:15.945496
